Code,LocalCode,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,RebateAtchison,RebateAtchisonCode,PeerGroup,OptimiserCategory,Type,Hurdle,E-score,S-score,G-score,ESG-score,Controversy-score,Controversy-Items,Unnamed:30,Citicode,LastPrice,MarketCap,Exchange,MktVolume,ShortSell%,Date,BasicEPS,TotalRevenues,DividendperShare-Net,TotalAssets,TotalLiabilities,GrowthofNetIncome(%),GrowthofNetSales(%),GrowthofFreeCashFlow(%),ReturnonTotalEquity(%),PayoutRatio,TotalDebt/TotalAssets,NetProfitMargin(%),InterestCover(EBIT),Unnamed:51,Unnamed:52,YieldtoMaturity,IRDuration,CreditDuration,AvCreditRating,AAA_ModDur,AA_ModDur,A_ModDur,BBB_ModDur,BB_ModDur,B_ModDur,CCC_ModDur,NotRated_ModDur,CashEq_ModDur,Gov_ModDur,Corporates_ModDur,Securitised_ModDur,Other_ModDur,CashEq_ModDur.1,AAA_CredSprDur,AA_CredSprDur,A_CredSprDur,BBB_CredSprDur,BB_CredSprDur,B_CredSprDur,CCC_CredSprDur,NotRated_CredSprDur,CashEq_CredSprDur,Gov_CredSprDur,Corporates_CredSprDur,Securitised_CredSprDur,Other_CredSprDur,CashEq_CredSprDur.1,Unnamed:85,FE_Objective,FE_PerformanceFee,FE_PrimaryManager,FE_PrimaryManagerStartDate,FE_PrimaryManagerBiography,FE_Benchmark,FE_CrownRating,FE_FundSize,FE_HistoryStart,FE_PortfolioTurnoverRatio,FE_AverageMaturityDate,FE_LonsecRating,FE_MstarAnalystRating,FE_AnnualCharge,PE_Ratio,EarningsYield,PriceBook
IOZ-AU,nan,iShares Core S&P/ASX 200 ETF,Growth,Australian Shares,Australian Shares,Australian Shares,ETF Index,Core,AUD,Core,,,,,,,,,,Australia Large Blend Equity,Australian Equities,ETF,,,,,,,,,G1ED,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VGS-AU,nan,Vanguard MSCI Index International Shares ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed ,AUD,Developed ,,,,,,,,,,World Large Blend Equity,International Equities - Unhedged,ETF,,,,,,,,,MQVY,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VGAD-AU,nan,Vanguard MSCI Index International Shares (hedged) ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed ,Local,Developed ,,,,,,,,,,World Currency Hedged Equity,International Equities - Hedged,ETF,,,,,,,,,M7YI,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVV-AU,nan,iShares S&P 500 ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,US,AUD,US,,,,,,,,,,World Other Equity,International Equities - Unhedged,ETF,,,,,,,,,K49D,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHVV-AU,nan,iShares S&P 500 AUD Hedged ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,US,USD,US,,,,,,,,,,World Other Equity,International Equities - Unhedged,ETF,,,,,,,,,NSHL,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEU-AU,nan,iShares Europe ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Europe,AUD,Europe,,,,,,,,,,Europe Equity,International Equities - Unhedged,ETF,,,,,,,,,K49G,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEQ-AU,nan,Vanguard FTSE Europe Shares ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Europe,AUD,Europe,,,,,,,,,,Europe Equity,International Equities - Unhedged,ETF,,,,,,,,,MWZQ,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJP-AU,nan,iShares MSCI Japan ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Japan,AUD,Japan,,,,,,,,,,World Other Equity,International Equities - Unhedged,ETF,,,,,,,,,K49L,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEM-AU,nan,iShares MSCI Emerging Markets ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Emerging Markets,AUD,Emerging Markets,,,,,,,,,,Emerging Markets Equity,International Equities - Emerging,ETF,,,,,,,,,K49J,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZZ-AU,nan,iShares China Large-Cap ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Emerging Markets,AUD,Emerging Markets,,,,,,,,,,Asia Pacific ex Japan Equity,International Equities - Unhedged,ETF,,,,,,,,,K49C,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WVOL-AU,nan,iShares Edge MSCI World Min Vol ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed ,AUD,Developed ,,,,,,,,,,World Large Blend Equity,International Equities - Unhedged,ETF,,,,,,,,,NSHQ,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVE-AU,nan,iShares MSCI EAFE ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed EX us,AUD,Developed ex. US,,,,,,,,,,World ex US Large Blend Equity,International Equities - Unhedged,ETF,,,,,,,,,K49I,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IKO-AU,nan,iShares MSCI South Korea ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Korea,AUD,Korea,,,,,,,,,,South Korea Equity,International Equities - Unhedged,ETF,,,,,,,,,K49N,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBLD-AU,nan,Vanguard Global Infrastructure Index ETF,Growth,Real Assets,Alternatives,Alternatives (Growth),ETF Index,,,Global Listed Infrastructure,,,,,,,,,,Global Infrastructure,Global Unlisted Infrastructure,ETF,,,,,,,,,PPY2,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAF-AU,nan,iShares Core Composite Bond ETF,Defensive,Long Duration,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,Core Australian Bonds,,,,,,,,,,Australian Bonds,Australian Fixed Interest,ETF,,,,,,,,,G1EH,,,nan,,,,,,,,,,,,,,,,,,,4.13,4.99,5.87,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILB-AU,nan,iShares Government Inflation ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,Inflation Linked Bonds,,,,,,,,,,Inflation linked Bonds,Inflation Linked Government Bonds,ETF,,,,,,,,,G1EI,,,nan,,,,,,,,,,,,,,,,,,,3.9,7.24,8.06,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLOT-AU,nan,VanEck Australian Floating Rate ETF,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,Floating Rate Bonds,,,,,,,,,,Diversified Credit,Floating High Yield Credit,ETF,,,,,,,,,O64U,,,nan,,,,,,,,,,,,,,,,,,,4.69,0.15,2.31,AA-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHYB-AU,nan,BetaShares Australian Major Bank Hybrids Index ETF,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,Bank Hybrids,,,,,,,,,,Global Bonds ,International Fixed Interest,ETF,,,,,,,,,WCIX,,,nan,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBND-AU,nan,Vanguard Global Agg Bond Index (hedged) ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,Global Aggregate Bonds,,,,,,,,,,Global Bonds ,International Fixed Interest,ETF,,,,,,,,,O8LC,,,nan,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AESG-AU,nan,iShares Global Aggregate Bond ESG (AUD Hedged) ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,Global Aggregate Bonds,,,,,,,,,,Global Bonds ,International Fixed Interest,ETF,,,,,,,,,YNPV,,,nan,,,,,,,,,,,,,,,,,,,3.66,6.54,8.37,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGB-AU,nan,iShares Treasury ETF,Defensive,Long Duration,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,Global Government Bonds,,,,,,,,,,Australian Bonds,Australian Fixed Interest,ETF,,,,,,,,,G1EJ,,,nan,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHCB-AU,nan,iShares Core Global Corporate Bond (hedged) ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,Global IG Credit,,,,,,,,,,Diversified Credit,Floating High Yield Credit,ETF,,,,,,,,,MXCD,,,nan,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHHY-AU,nan,iShares Global High Yield Bond (hedged) ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,Global HY Credit,,,,,,,,,,Yield Credit Equity,Floating High Yield Credit,ETF,,,,,,,,,MXCE,,,nan,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHEB-AU,nan,iShares USD EM Bond (hedged) ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,Emerging Market Debt,,,,,,,,,,Global Bonds ,International Fixed Interest,ETF,,,,,,,,,NSHM,,,nan,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISEC-AU,nan,iShares Enhanced Cash ETF,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,Enhanced Cash,,,,,,,,,,Domestic Cash,Cash,ETF,,,,,,,,,O0HC,,,nan,,,,,,,,,,,,,,,,,,,4.52,0.15,0.15,A+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILL-AU,nan,iShares Core Cash ETF,Defensive,Cash,Cash,Cash,ETF Index,Cash,Cash,Bank Bills,,Cash,Cash,Cash,Cash,,,,,Domestic Cash,Cash,ETF,,,,,,,,,O0HD,,,nan,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUD,nan,Bank Account,Defensive,Cash,Cash,Cash,ASXStock,Cash,Cash,Bank Account,Cash,Cash,Cash,Cash,Cash,,,,,Domestic Cash,Cash,ASXStock,,,,,,,,,nan,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOW2217AU,nan,Merlon Concentrated Australian Share Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Concentrated Active,,,,,,,,0.001,,Australia Large Blend Equity,Australian Equities,MF,,,,,,,,,PJL7,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Fund aims to outperform the benchmark on a total return basis over the medium to long term.,0.2,Neil Margolis,2018-02-01,"Neil Margolis founded Merlon Capital Partners in May 2010. Prior to Merlon, Neil was Portfolio Manager of Challenger Limited's Australian Share Income Fund, having established the strategy in 2005. Neil joined Challenger in 2004 as a Senior Industrials Analyst from Alliance Capital Management where he held the position of Senior Equities Analyst. Neil was with Alliance for three years, and prior to that worked for JP Morgan Investment Bank.",S&P/ASX 200 Accumulation,CCCC,143781211.0,2018-02-01,14.6,2009-01-31,,,0.008,,,
SCH0101AU,nan,Schroder Australian Equity Fund W Class,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Core,,,,,,,,0.0018,SCH6237AU,Australia Large Blend Equity,Australian Equities,MF,,,,,,,,,EOU3,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To outperform the S&P/ASX 200 Accumulation Index after fees over the medium to long term by investing in a broad range of companies from Australia and New Zealand.,0.0,Martin Conlon,1994-02-21,"Martin is Head of Australian Equities and involved in the portfolio construction process for Australian Equity portfolios, while also retaining analytical responsibilities for Diversified Financials, General Insurance and Telecommunications. Martin joined Schroders in 1994 and was promoted to Head of Australian Equities in October 2003. Prior to joining Schroders he was an accountant at Ernst & Young. He holds a Bachelor of Economics from Macquarie University, a Graduate Diploma in Applied Finance and Investment and is a qualified Chartered Accountant.",S&P ASX 200 Index,CCC,1801402291.0,2002-07-01,,,,,0.011,,,
AAP5529AU,nan,Ausbil Australian SmallCap Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Small Cap Fundamental,,,,,,,,0.0015,,Australia Mid Small Blend Equity,Australian Equities - Small Cap,MF,,,,,,,,,R2JU,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To achieve returns (before fees and taxes) in excess of the S&P/ASX Small Ordinaries Accumulation Index over the medium to long term. There is no guarantee that this objective will be achieved.,0.205,Arden Jennings,2020-04-30,"Arden joined Ausbil in 2017, and brings expertise in the analysis and management of small and micro-cap company investments from some of Australia’s leading investment houses. Since 2010, his role has covered a variety of functions including analysing and investing in ASX listed small & microcap companies, global equity dealing and foreign exchange. Arden was previously a Portfolio Manager at Hunter Hall Investment Management specialising in Australian Small Companies. Arden held earlier positions as Equities Analyst, and Dealer at Hunter Hall and has financial services experience with the Bank of Tokyo-Mitsubishi UFJ, Morgan Stanley Smith Barney and Babcock and Brown. Arden holds a Bachelor of Applied Finance with Bachelor of Commerce (Accounting) and is a CFA Charterholder.",S&P/ASX Small Ordinaries,CCCCC,110955117.0,2020-04-30,,2010-11-30,,,0.0055,,,
CNA0812AU,nan,Invesco Wholesale Australian Smaller Companies,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Small Cap Systematic,,,,,,,,0.0005,,Australia Mid Small Blend Equity,Australian Equities - Small Cap,MF,,,,,,,,,LXV5,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""The Fund actively takes a position in Australian Smaller Companies shares with the aim of delivering consistent returns above its benchmark. The Fund aims to add value through the systematic application of key financial indicators and behavioural concepts developed by the Invesco Quantitative Strategies team. The underlying portfolio generally holds between 60 and 120 stocks that generally have a market capitalisation in excess of $40 million. The underlying investments are managed by our Frankfurt and Melbourne offices, with supervision and monitoring undertaken by our Melbourne office.""",0.0,,,,S&P/ASX Small Ordinaries Accumulation,CCCC,38677085.0,1996-06-28,,,,,0.0123,,,
ALR2783AU,nan,Australian Eagle Trust,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Long Short,,,,,,,,0.003,,Australia Large Blend Equity,Australian Equities,MF,,,,,,,,,P9IY,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Substantially outperform the ASX 100 index over a period of 5 years,0.205,Sean Sequeira,2016-07-01,"29 years of industry experience, 17 years in Alleron/Australian Eagle as founding member. Previous positions include Equity Analyst at Tower Asset Management, Chase Futures, Societe Generale Treasury and Citibank",S&P/ASX 100 Index,,0.0,2016-06-30,,2010-09-30,,Gold,0.009,,,
HOW0035AU,nan,Greencape High Conviction Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Concentrated Active,,,,,,,,0.001,,Australia Large Growth Equity,Australian Equities,MF,,,,,,,,,L1M8,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Fund aims to outperform its benchmark over rolling three-year periods.,0.15,,,,S&P/ASX 200 Accumulation,CCC,799060710.0,2006-09-11,,,,,,,,
PIM0028AU,nan,DNR Capital Australian Equities High Conviction Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Concentrated Active,,,,,,,,,,Australia Large Blend Equity,Australian Equities,MF,,,,,,,,,MFGP,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDH0002AU,nan,DDH Selector Australian Equities,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Concentrated Active,,,,,,,,,,Australia Mid Small Growth Equity,Australian Equities - Small Cap,MF,,,,,,,,,LQC5,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT0002AU,nan,Fairview Equity Partners Emerging Companies Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Small Cap Fundamental,,,,,,,,,,Australia Mid Small Growth Equity,Australian Equities - Small Cap,MF,,,,,,,,,L9O8,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFA0818AU,nan,Pendal Australian Share Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Core,,,,,,,,,,Australia Large Blend Equity,Australian Equities,MF,,,,,,,,,LTD7,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASX6124AU,nan,Auscap Long Short Australian Equities,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Long Short,,,,,,,,,,Australia Long Short Equity,Australian Equities,MF,,,,,,,,,PWZ6,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE-AU,nan,Vanguard FTSE Asia ex Japan Shares Index ETF,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Asia ex. Japan,,,,,,,,,,Asia Pacific ex Japan Equity,International Equities - Unhedged,ETF,,,,,,,,,MYBH,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETL7377AU,nan,GQG Partners Global Equity Fund - A Class,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Quality Bias - Fundamental,,,,,,,,0.0015,ETL2869AU,World Large Growth Equity,International Equities - Unhedged,MF,,,,,,,,,Q62M,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The GQG Partners Global Equity Fund aims to seek long-term capital appreciation by investing directly or indirectly in equity securities and equity-linked securities anywhere in the world that GQG Partners believes can sustain long-term earnings growth and are available at a reasonable price. The objective of the Fund is to provide a rate of return (after fees and expenses and before taxes) which exceeds the return of the MSCI ACWI ex Tobacco (AUD).,,,,,MSCI ACWI Ex-Tobacco,CC,3571830188.0,2017-06-02,,,,,0.01,,,
HOW6479AU,nan,Ox Capital Dynamic Emerging Markets Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Emerging Markets,,,,,,,,,,Emerging Markets Equity,International Equities - Emerging,MF,,,,,,,,,DYWK,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Fund aims to provide an absolute return and capital growth over the long term and outperform its benchmark after costs over rolling five year periods.,0.15,Dr. Joseph Lai,2021-09-20,"Dr Joseph Lai, CFA, MBBS (USyd), MBA (AGSM). It has been many years since Joe last held a stethoscope and examined patients in a hospital, but what his early experience as a medical doctor left him with is a strong sense of professional duty. Before joining Platinum in 2004, Joe worked as an equity research analyst at Morgan Stanley, with key responsibilities for healthcare and technology sectors. At Platinum, he initially covered companies in Greater China before broadening out to stock in other Asian countries. Joe was appointed a co-manager of the Platinum Asia Fund in 2011 before becoming the sole manager in late 2014. He has also been the portfolio manager of Platinum Asia Investments Limited, Platinum World Portfolios - Asia Fund and Platinum Asia Fund (Quoted Managed Hedge Fund) since their inception in 2015, 2015 and 2017 respectively. A fluent speaker of both Mandarin and Cantonese, Joe has a deep appreciation of Chinese history and culture which enables him to confidently bridge the cultural gap when investing in the region. Joe leads the Asia regional team.",MSCI Emerging Markets Net Total Return Index (AUD) Unhedged,,42452952.0,2021-09-20,,,,,0.0095,,,
GSF6910AU,nan,Man GLG Asia Opportunitie,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Asia ex. Japan,,,,,,,,0.0045,,Asia Pacific ex Japan Equity,International Equities - Unhedged,MF,,,,,,,,,STSP,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11831994.0,2022-10-20,,,,,0.0125,,,
PIM7802AU,nan,Fairlight Global Small & Mid Cap Fund (SMID) Class A,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Global SMID,,,,,,,,0.0034,,World Mid Small Equity,International Equities - Small Cap,MF,,,,,,,,,Q2PQ,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Fund aims to achieve annualised returns in excess of the benchmark after all fees and expenses measured over a market cycle which we consider to be 7 years.,0.15,Nicholas Cregan,2018-11-01,"15+ years’ experience in domestic, US and international financial markets including Portfolio Manager and Senior Analyst positions in Australia and New York with Evans and Partners and Schroder Investment Management.",MSCI World SMID Cap,CCCC,1273000000.0,2018-11-01,,,,,,,,
MAQ0633AU,nan,Macquarie True Index International Equities,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Core,,,,,,,,,,World Large Blend Equity,International Equities - Unhedged,MF,,,,,,,,,LSN5,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP8285AU,nan,Ausbil Global SmallCap Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Small Cap Fundamental,,,,,,,,,,World Mid Small Equity,International Equities - Small Cap,MF,,,,,,,,,PHP8,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRT0009AU,nan,Franklin Global Growth Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Growth Bias - Fundamental,,,,,,,,,,World Large Growth Equity,International Equities - Unhedged,MF,,,,,,,,,06RO,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUA0002AU,nan,Munro Global Growth Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Thematic Active,,,,,,,,,,World Other Equity,International Equities - Unhedged,MF,,,,,,,,,NCYH,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI1413AU,nan,WCM Quality Global Growth Fund (Managed Fund) Class A (Unhedged),Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Growth Bias - Fundamental,,,,,,,,,,World Large Growth Equity,International Equities - Unhedged,MF,,,,,,,,,QG7W,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETL0483AU,nan,Pzena Emerging Markets Value Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Emerging Markets,,,,,,,,,,Emerging Markets Equity,International Equities - Emerging,MF,,,,,,,,,DNSP,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETL4207AU,nan,GQG Partners Emerging Markets Equity Fund - A Class,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Emerging Markets,,,,,,,,,,Emerging Markets Equity,International Equities - Emerging,MF,,,,,,,,,Q62L,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETL0171AU,nan,AXA IM Sustainable Equity Fund,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Core - ESG,,,,,,,,,,World Large Blend Equity,International Equities - Unhedged,MF,,,,,,,,,E2KF,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK4709AU,nan,BlackRock iShares WholeSale Australian Listed Property Index,Growth,Real Assets,Alternatives,Alternatives (Growth),Passive,,,AREITs,,,,,,,,,,Australia Real Estate Equity,AREITs,MF,,,,,,,,,CSRF,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK9419AU,nan,BlackRock iShares Global Listed Property Index,Growth,Real Assets,Alternatives,Alternatives (Growth),Passive,,,GREITs,,,,,,,,,,Global Real Estate,GREITs,MF,,,,,,,,,WSQP,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAM0044AU,nan,Alceon Australian Property,Growth,Real Assets,Alternatives,Alternatives (Growth),Active Manager,,,Direct & Listed Property & Infrastructure,,,,,,,,0.0005,,Direct Property,Australian Direct Property,MF,,,,,,,,,MQWT,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTU5547AU,nan,Invesco Global Real Estate Fund - Class A,Growth,Real Assets,Alternatives,Alternatives (Growth),Active Manager,,,Global Direct Property,,,,,,,,,,Direct Property,Australian Direct Property,MF,,,,,,,,,QMZ8,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGP0016AU,nan,ClearBridge RARE Infrastructure Income Fund - Hedged,Growth,Real Assets,Alternatives,Alternatives (Growth),Active Manager,,,Global Listed Infrastructure - Hedged,,,,,,,,0.002,,Global Infrastructure - Currency Hedged,Global Listed Infrastructure - hedged,MF,,,,,,,,,07EN,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
