Code,LocalCode,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,RebateAtchison,RebateAtchisonCode,PeerGroup,OptimiserCategory,Type,Hurdle,E-score,S-score,G-score,ESG-score,Controversy-score,Controversy-Items,Unnamed:30,Citicode,LastPrice,MarketCap,Exchange,MktVolume,ShortSell%,Date,BasicEPS,TotalRevenues,DividendperShare-Net,TotalAssets,TotalLiabilities,GrowthofNetIncome(%),GrowthofNetSales(%),GrowthofFreeCashFlow(%),ReturnonTotalEquity(%),PayoutRatio,TotalDebt/TotalAssets,NetProfitMargin(%),InterestCover(EBIT),Unnamed:51,Unnamed:52,YieldtoMaturity,IRDuration,CreditDuration,AvCreditRating,AAA_ModDur,AA_ModDur,A_ModDur,BBB_ModDur,BB_ModDur,B_ModDur,CCC_ModDur,NotRated_ModDur,CashEq_ModDur,Gov_ModDur,Corporates_ModDur,Securitised_ModDur,Other_ModDur,CashEq_ModDur.1,AAA_CredSprDur,AA_CredSprDur,A_CredSprDur,BBB_CredSprDur,BB_CredSprDur,B_CredSprDur,CCC_CredSprDur,NotRated_CredSprDur,CashEq_CredSprDur,Gov_CredSprDur,Corporates_CredSprDur,Securitised_CredSprDur,Other_CredSprDur,CashEq_CredSprDur.1,Unnamed:85,FE_Objective,FE_PerformanceFee,FE_PrimaryManager,FE_PrimaryManagerStartDate,FE_PrimaryManagerBiography,FE_Benchmark,FE_CrownRating,FE_FundSize,FE_HistoryStart,FE_PortfolioTurnoverRatio,FE_AverageMaturityDate,FE_LonsecRating,FE_MstarAnalystRating,FE_AnnualCharge,PE_Ratio,EarningsYield,PriceBook
MKC.NYS,nan,MCCORMICK & CO NON-VOTING INC,Growth,International Shares,Global Shares,Global Shares,Consumer Staples - 30,New York Stock Exchange Inc.,USD,United States,,Food Beverage & Tobacco - 3020,Food Products - 302020,Packaged Foods & Meats - 30202030,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,6781,67.81,17050195901.0,NYS,1027182.0,0.0,,3.829262,10060588220.0,2.355756,19423359230.0,11746765880.0,-0.2052,4.9082,10.1822,13.9143,0.614898,0.365206,10.2158,4.970701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17708373049428325,2.0,8.833345327585964e-07
CMS.NYS,nan,CMS ENERGY CORP,Growth,International Shares,Global Shares,Global Shares,Utilities - 55,New York Stock Exchange Inc.,USD,United States,,Utilities - 5510,Multi-Utilities - 551030,Multi-Utilities - 55103010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,5814,58.14,17118952067.0,NYS,3600299.0,0.0,,4.418127,10946754000.0,2.86065,49169439000.0,37250064000.0,5.9737,-13.1921,20.9433,10.2671,0.652762,0.467494,11.8868,2.190402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1315942253357588,2.0,4.877772534214252e-07
LVS.NYS,nan,LAS VEGAS SANDS CORP,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary - 25,New York Stock Exchange Inc.,USD,United States,,Consumer Services - 2530,"Hotels, Restaurants & Leisure - 253010",Casinos & Gaming - 25301010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,5128,51.28,38644826555.0,NYS,8431511.0,0.0,,2.347584,15215724000.0,0.8802,31948326000.0,25927758000.0,-33.3515,152.36,1153.4965,36.8814,0.249795,0.656625,11.772,2.860635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21843733813145771,2.0,8.517468783676225e-07
BALL.NYS,nan,BALL CORP,Growth,International Shares,Global Shares,Global Shares,Materials - 15,New York Stock Exchange Inc.,USD,United States,,Materials - 1510,Containers & Packaging - 151030,"Metal, Glass & Plastic Containers - 15103010",,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,6428,64.28,20289499000.0,NYS,1109510.0,0.0,,3.294952,20580543000.0,1.1736,28317501000.0,22688622000.0,-1.6689,-8.5999,-15.4483,19.3101,0.356435,0.467336,5.0395,3.106753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1950863017124377,2.0,1.1419680543852515e-06
BG.NYS,nan,BUNGE GLOBAL SA,Growth,International Shares,Global Shares,Global Shares,Consumer Staples - 30,New York Stock Exchange Inc.,USD,United States,,Food Beverage & Tobacco - 3020,Food Products - 302020,Agricultural Products & Services - 30202010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,9311,93.11,13527763632.0,NYS,1261426.0,0.0,,21.791264,87345180000.0,3.832538,37220724000.0,19888119000.0,39.3167,-11.4409,32.7436,21.4649,0.170753,0.226864,3.7672,6.335271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0427281317871235,2.0,5.371956494710402e-07
ARE.NYS,nan,ALEXANDRIA REAL ESTATE EQUITIES RE,Growth,International Shares,Global Shares,Global Shares,Real Estate - 60,New York Stock Exchange Inc.,USD,United States,,Equity Real Estate Investment Trusts (REITs) - 6010,Office REITs - 601040,Office REITs - 60104010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,12427,124.27,21740329901.0,NYS,664833.0,0.0,,0.793494,4234758093.0,7.27632,53943646734.0,20755716003.0,-80.1328,10.342,17.1669,1.2404,8.177259,0.318141,3.5902,9.900706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5661114009683752,0.638524181218315,3.7444335113042326e-07
WAT.NYS,nan,WATERS CORP,Growth,International Shares,Global Shares,Global Shares,Health Care - 35,New York Stock Exchange Inc.,USD,United States,,"Pharmaceuticals, Biotech & Life Sciences - 3520",Life Sciences Tools & Services - 352030,Life Sciences Tools & Services - 35203010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,34604,346.04,20486476701.0,NYS,242281.0,0.0,,15.948224,4337062272.0,0.0,6787594818.0,5100044571.0,-9.2575,-0.5228,-0.7017,77.6193,0.0,0.530738,21.7233,8.662121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2169771380186283,2.0,2.050546350339279e-05
VLTO.NYS,nan,VERALTO CORP,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,New York Stock Exchange Inc.,USD,United States,,Commercial & Professional Services - 2020,Commercial Services & Supplies - 202010,Environmental & Facilities Services - 20201050,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,8676,86.76,21389972901.0,NYS,572620.0,0.0,,4.995182,7365807000.0,0.13203,8351631000.0,6313968000.0,-0.71,3.1006,6.9819,36.2497,0.0,0.487792,16.7098,38.433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17368736514505378,2.0,4.257818883691759e-06
TXT.NYS,nan,TEXTRON INC,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,New York Stock Exchange Inc.,USD,United States,,Capital Goods - 2010,Aerospace & Defense - 201010,Aerospace & Defense - 20101010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,8868,88.68,17102291035.0,NYS,705272.0,0.0,,6.76504,20072961000.0,0.11736,24727752000.0,14477823000.0,6.9686,6.3275,15.4198,13.078,0.017372,0.252432,6.7309,20.564516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13108569941936782,2.0,8.651767246387757e-07
OMC.NYS,nan,OMNICOM GROUP INC,Growth,International Shares,Global Shares,Global Shares,Communication Services - 50,New York Stock Exchange Inc.,USD,United States,,Media & Entertainment - 5020,Media - 502010,Advertising - 50201010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,8844,88.44,17510475891.0,NYS,809623.0,0.0,,10.236628,21553457400.0,4.1076,41141428200.0,34334988300.0,5.6893,2.821,-1.755,33.4856,0.404412,0.244574,9.4703,12.554166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08639563731338093,2.0,1.299357686240644e-06
